Date,Product,Region,Sales
2023-01-15,Camera,North,4975
2023-05-08,Laptop,West,1356
2022-02-10,Smartwatch,North,3090
2022-06-06,Headphones,East,2296
2022-01-15,Smartwatch,North,3568
2022-03-06,Phone,East,2808
2023-06-05,Phone,West,401
2022-12-10,Monitor,East,746
2022-05-09,Tablet,West,4858
2023-10-10,Phone,South,1859
2023-04-17,Laptop,South,4451
2022-03-04,Smartwatch,South,697
2022-05-19,Smartwatch,East,761
2023-05-14,Monitor,South,4430
2023-08-16,Camera,North,1468
2023-01-27,Camera,West,2681
2023-11-06,Headphones,West,3968
2023-02-23,Monitor,North,3637
2022-10-16,Headphones,East,4965
2023-01-14,Camera,East,4408
2023-05-05,Monitor,West,4658
2022-08-19,Monitor,South,382
2022-02-10,Monitor,East,3778
2022-01-28,Camera,East,1586
2022-05-15,Headphones,North,4182
2022-07-20,Headphones,North,4283
2022-02-02,Monitor,South,560
2022-02-17,Phone,East,2425
2023-05-18,Tablet,East,3854
2023-02-11,Camera,North,2568
2023-07-28,Tablet,East,1824
2023-12-29,Tablet,West,1476
2022-04-09,Headphones,North,2843
2023-11-15,Headphones,South,614
2023-12-27,Phone,North,802
2023-07-01,Tablet,East,1753
2023-09-05,Tablet,South,2166
2023-04-07,Monitor,North,122
2023-10-05,Headphones,West,2560
2022-01-05,Tablet,West,1404
2022-08-06,Smartwatch,North,3400
2023-05-18,Phone,West,461
2023-02-02,Smartwatch,West,3827
2023-01-28,Smartwatch,West,1384
2022-07-26,Camera,South,614
2022-01-15,Camera,West,548
2023-07-08,Phone,West,1955
2023-04-06,Smartwatch,West,3662
2023-11-22,Tablet,South,2620
2023-07-29,Headphones,North,3181
2022-08-29,Phone,East,1528
2023-07-18,Monitor,West,4067
2022-04-06,Smartwatch,North,1022
2023-04-30,Phone,West,3237
2023-02-11,Laptop,South,2259
2022-08-19,Laptop,North,2647
2023-10-17,Camera,South,3079
2022-06-20,Headphones,West,2381
2023-06-25,Tablet,West,2749
2022-02-05,Headphones,South,413
2023-06-09,Headphones,East,2713
2022-06-09,Headphones,South,3183
2023-11-30,Headphones,West,2356
2022-08-31,Monitor,South,1137
2022-03-27,Monitor,East,3589
2023-08-01,Camera,South,2734
2023-11-13,Phone,East,4083
2023-07-11,Laptop,East,1878
2023-07-28,Headphones,South,3995
2023-10-08,Camera,South,1224
2022-01-28,Phone,North,797
2023-09-12,Laptop,West,2279
2023-07-10,Smartwatch,East,1504
2022-12-06,Tablet,North,1143
2022-11-27,Monitor,South,2029
2023-10-02,Smartwatch,West,1113
2023-05-21,Laptop,North,326
2022-12-14,Smartwatch,East,1928
2023-04-18,Tablet,North,2123
2022-08-19,Camera,East,2552
2022-07-09,Laptop,South,2185
2022-08-13,Smartwatch,West,4383
2023-01-20,Monitor,West,1180
2023-01-12,Monitor,West,2420
2022-10-10,Phone,South,3290
2023-09-25,Smartwatch,East,2730
2023-09-20,Headphones,South,2663
2022-09-16,Smartwatch,West,3392
2022-12-25,Camera,South,4721
2023-12-11,Laptop,South,3686
2023-04-01,Laptop,South,4531
2023-02-15,Camera,East,3047
2023-10-11,Smartwatch,North,4059
2022-11-14,Camera,North,2913
2023-11-08,Tablet,South,2683
2022-08-13,Camera,North,261
2022-08-22,Monitor,North,693
2023-11-15,Camera,South,3359
2023-10-26,Laptop,South,4255
2023-01-09,Monitor,West,3062
2023-11-03,Laptop,North,3988
2023-08-31,Phone,East,3490
2023-04-17,Headphones,South,4601
2022-08-21,Laptop,West,763
2023-11-23,Monitor,East,1232
2022-04-23,Phone,North,641
2023-05-12,Laptop,West,3074
2023-03-18,Tablet,South,967
2023-07-18,Camera,East,2166
2022-09-25,Headphones,South,531
2023-05-25,Laptop,North,4935
2023-01-21,Phone,East,4378
2023-01-22,Tablet,North,1306
2022-04-23,Smartwatch,North,2628
2023-09-05,Phone,West,1269
2023-09-17,Camera,South,930
2022-03-22,Phone,East,1751
2023-11-30,Tablet,North,1236
2022-04-23,Phone,North,2910
2022-01-02,Tablet,East,575
2023-10-04,Laptop,North,2910
2022-08-08,Tablet,West,1426
2023-07-20,Tablet,West,1119
2022-08-13,Headphones,West,1936
2023-01-20,Tablet,West,4356
2023-02-07,Tablet,North,2548
2023-09-30,Smartwatch,East,4393
2022-05-10,Laptop,East,1383
2022-02-22,Camera,East,759
2023-11-15,Headphones,East,2110
2023-12-31,Smartwatch,South,498
2023-11-03,Monitor,East,1833
2023-12-11,Laptop,South,2225
2023-02-20,Laptop,South,2271
2022-09-04,Monitor,West,174
2023-03-15,Camera,South,4797
2022-07-22,Tablet,North,3571
2022-07-03,Smartwatch,South,936
2022-05-03,Phone,West,599
2023-02-05,Headphones,South,237
2022-10-21,Phone,North,2197
2022-10-07,Monitor,North,3796
2023-09-02,Laptop,North,1985
2022-07-17,Camera,West,2857
2023-05-26,Laptop,West,4020
2022-05-24,Headphones,East,2000
2023-09-01,Laptop,West,2710
2022-07-20,Laptop,North,4086
2022-05-04,Headphones,North,1549
2022-07-06,Smartwatch,West,646
2022-11-22,Smartwatch,South,4776
2023-04-09,Headphones,West,2103
2022-12-15,Camera,West,2196
2023-10-22,Monitor,North,803
2023-02-07,Laptop,East,2503
2022-12-12,Camera,North,1725
2023-05-26,Laptop,East,3431
2022-05-27,Monitor,North,4833
2022-05-28,Smartwatch,West,3078
2023-12-12,Camera,North,4836
2023-05-04,Tablet,North,2939
2023-10-02,Tablet,North,3484
2023-07-05,Tablet,West,2759
2022-12-04,Smartwatch,West,1961
2023-10-03,Smartwatch,West,2956
2023-04-18,Monitor,West,785
2022-05-31,Laptop,East,4383
2023-02-19,Monitor,East,1719
2022-10-25,Monitor,South,4743
2023-09-03,Smartwatch,West,1531
2022-09-20,Tablet,East,975
2022-05-24,Phone,North,4813
2022-12-12,Laptop,West,2561
2023-09-16,Smartwatch,South,1465
2023-07-26,Tablet,South,1343
2022-01-02,Camera,South,262
2022-10-31,Phone,North,2074
2022-09-11,Phone,East,3391
2023-10-14,Smartwatch,North,369
2023-03-29,Headphones,West,731
2022-02-06,Laptop,South,1005
2022-06-09,Phone,North,3571
2022-01-09,Smartwatch,North,3353
2022-08-21,Smartwatch,East,2114
2022-04-09,Tablet,East,1741
2023-10-21,Camera,South,304
2022-07-27,Headphones,North,681
2022-05-11,Laptop,North,940
2023-02-08,Monitor,East,1819
2022-06-01,Camera,North,2743
2022-02-23,Camera,North,2397
2022-04-30,Tablet,North,974
2023-11-04,Phone,East,789
2023-09-20,Phone,South,4100
2023-08-10,Tablet,West,3241
2023-09-17,Smartwatch,South,1522
2023-02-24,Phone,West,771
2023-02-26,Headphones,North,1271
2022-04-14,Laptop,South,3826
2022-09-11,Camera,West,1043
2022-08-15,Camera,East,1549
2022-04-22,Headphones,East,3837
2023-05-25,Phone,South,2639
2023-04-18,Camera,South,4059
2022-04-09,Monitor,North,4360
2022-06-02,Laptop,South,2461
2022-12-04,Laptop,North,3752
2023-12-07,Camera,North,3770
2022-06-12,Tablet,East,1853
2023-12-21,Camera,East,2452
2023-11-12,Tablet,West,2038
2022-06-10,Camera,East,470
2023-08-03,Monitor,East,4579
2023-02-02,Smartwatch,South,2031
2022-10-04,Laptop,East,524
2023-05-19,Camera,West,4824
2023-01-27,Monitor,South,994
2022-05-15,Tablet,West,697
2022-07-14,Tablet,East,3162
2023-02-05,Laptop,West,2436
2023-10-02,Headphones,South,4788
2022-02-02,Camera,North,1787
2023-11-19,Phone,West,672
2023-04-05,Tablet,West,2190
2023-04-15,Smartwatch,South,3769
2023-01-10,Smartwatch,South,4372
2022-01-22,Tablet,West,4724
2023-11-01,Headphones,East,1733
2022-02-07,Headphones,West,1617
2022-08-18,Monitor,South,4393
2022-12-31,Smartwatch,North,2757
2023-07-17,Monitor,North,3748
2023-03-14,Smartwatch,East,3688
2022-10-10,Camera,West,1637
2022-01-27,Camera,North,3237
2022-08-14,Phone,West,197
2022-10-04,Camera,South,3315
2023-09-01,Phone,North,4630
2022-10-11,Camera,East,4832
2023-04-26,Laptop,South,3850
2023-03-29,Camera,East,3257
2023-10-21,Monitor,South,4783
2023-05-31,Tablet,North,443
2023-07-01,Monitor,East,4766
2022-07-11,Tablet,East,710
2022-02-18,Headphones,South,1827
2023-05-27,Monitor,East,2390
2022-01-17,Headphones,South,1954
2022-06-21,Phone,South,2708
2022-08-08,Phone,South,2179
2022-06-07,Laptop,South,2424
2023-04-22,Camera,North,4727
2022-02-15,Monitor,South,1277
2023-01-08,Headphones,West,1191
2023-06-02,Tablet,East,2891
2022-04-09,Phone,West,1849
2022-02-06,Camera,North,2775
2022-10-07,Phone,West,881
2022-12-15,Tablet,East,3148
2023-05-12,Camera,West,2205
2022-10-29,Camera,North,3967
2022-06-30,Headphones,South,4642
2023-08-30,Headphones,West,2213
2022-04-09,Monitor,North,4070
2023-12-01,Monitor,North,2091
2022-04-26,Smartwatch,East,1167
2022-07-10,Smartwatch,East,1677
2022-09-10,Laptop,West,1111
2022-06-10,Phone,South,2374
2022-09-13,Monitor,North,4969
2022-11-19,Headphones,West,1914
2022-05-08,Tablet,North,2526
2022-01-18,Headphones,North,4502
2023-07-20,Phone,South,4974
2023-07-24,Smartwatch,South,2651
2022-11-19,Headphones,West,3757
2023-11-17,Laptop,South,107
2023-09-18,Phone,South,2655
2022-10-15,Smartwatch,West,575
2023-10-25,Tablet,South,2311
2023-10-01,Smartwatch,East,584
2022-06-04,Camera,North,4754
2023-05-05,Laptop,North,2385
2023-01-21,Phone,North,4663
2022-04-14,Tablet,North,3625
2023-01-28,Laptop,West,3439
2022-09-03,Smartwatch,North,2922
2022-06-25,Laptop,North,3024
2022-02-08,Phone,North,358
2023-04-22,Monitor,North,382
2023-11-13,Laptop,East,1998
2023-06-22,Camera,North,4235
2023-02-12,Laptop,East,3076
2023-06-09,Smartwatch,West,2367
2023-05-21,Smartwatch,South,3300
2022-02-05,Tablet,North,712
2023-11-16,Smartwatch,South,787
2022-01-20,Headphones,South,3790
2022-11-17,Phone,West,712
2023-05-27,Phone,South,2407
2023-02-04,Monitor,East,3113
2023-10-16,Monitor,South,1881
2023-04-16,Phone,South,2691
2022-05-23,Camera,South,2796
2022-04-02,Monitor,North,4058
2022-12-20,Tablet,North,674
2023-12-28,Smartwatch,East,2010
2022-02-20,Phone,East,3704
2023-10-27,Monitor,North,769
2023-11-29,Phone,East,4464
2023-07-29,Headphones,North,1383
2022-07-09,Laptop,West,1023
2022-05-05,Smartwatch,South,1225
2022-05-30,Phone,South,1629
2022-11-10,Laptop,East,1694
2023-07-24,Monitor,North,346
2022-12-08,Laptop,North,3811
2022-11-01,Smartwatch,East,1660
2023-11-23,Phone,North,2500
2023-11-13,Headphones,West,2343
2022-02-23,Camera,South,3964
2023-03-20,Monitor,East,2039
2023-09-05,Phone,East,3169
2022-09-21,Smartwatch,North,326
2022-02-22,Monitor,East,3647
2023-07-26,Tablet,West,364
2023-09-12,Laptop,North,1495
2022-01-05,Camera,North,3657
2022-04-13,Smartwatch,North,745
2022-07-15,Tablet,North,3090
2022-12-16,Phone,West,1999
2022-02-16,Headphones,North,2604
2023-10-18,Monitor,East,2872
2022-09-26,Laptop,West,1254
2023-01-05,Monitor,South,687
2023-09-28,Camera,South,4671
2022-04-16,Phone,East,1921
2023-11-01,Monitor,East,1085
2023-10-21,Laptop,West,4179
2023-10-19,Phone,South,3448
2022-04-30,Monitor,South,3931
2023-08-27,Headphones,South,1341
2022-02-27,Smartwatch,South,289
2022-12-12,Phone,South,1080
2023-04-19,Smartwatch,North,1798
2022-04-27,Phone,East,1815
2022-05-07,Headphones,North,2693
2023-01-28,Smartwatch,South,4236
2023-10-03,Tablet,West,4533
2022-02-27,Laptop,West,1198
2023-09-26,Tablet,South,2426
2023-05-28,Monitor,South,3347
2022-04-06,Headphones,West,995
2023-09-30,Tablet,North,1774
2022-04-28,Phone,North,3009
2023-07-14,Monitor,South,1030
2023-08-24,Monitor,North,4484
2023-05-03,Tablet,West,823
2022-08-25,Tablet,North,3040
2022-09-29,Headphones,South,1189
2022-07-08,Laptop,West,4678
2023-12-05,Tablet,North,1035
2023-03-23,Camera,East,2395
2023-08-04,Tablet,West,255
2022-09-04,Smartwatch,West,1170
2022-03-17,Phone,East,2058
2022-06-03,Camera,East,2601
2023-10-18,Camera,West,4319
2023-03-11,Smartwatch,East,3930
2022-03-27,Smartwatch,South,954
2023-11-28,Monitor,South,739
2022-10-12,Laptop,South,2338
2022-08-08,Phone,West,1702
2022-03-10,Headphones,East,541
2022-02-16,Camera,East,4728
2022-04-04,Headphones,North,1436
2023-03-29,Tablet,North,3800
2022-07-23,Tablet,East,1048
2022-08-06,Headphones,East,3473
2023-04-19,Tablet,East,559
2023-03-08,Laptop,West,4746
2022-12-07,Smartwatch,East,492
2023-07-05,Tablet,North,4038
2023-09-04,Monitor,West,1887
2022-10-16,Tablet,East,2357
2022-09-11,Phone,North,1238
2022-12-23,Laptop,West,3908
2022-01-23,Phone,East,4841
2023-06-06,Phone,East,2554
2022-04-10,Monitor,East,1566
2022-06-29,Laptop,West,3774
2022-08-11,Laptop,North,1477
2023-10-21,Laptop,North,2697
2023-03-18,Laptop,South,241
2023-08-31,Laptop,East,2759
2022-11-21,Monitor,South,4696
2023-05-31,Tablet,South,939
2022-01-16,Phone,North,3718
2022-12-02,Laptop,West,4017
2022-09-15,Camera,West,695
2023-05-12,Tablet,North,2004
2022-06-09,Tablet,West,380
2023-04-20,Phone,South,523
2023-10-26,Monitor,East,4465
2023-11-21,Headphones,North,4349
2023-11-06,Headphones,East,1850
2023-01-15,Tablet,West,4857
2023-06-29,Smartwatch,East,2067
2023-11-22,Smartwatch,West,4188
2023-03-03,Phone,West,4278
2023-09-05,Headphones,South,3046
2022-09-25,Tablet,West,1549
2023-07-31,Monitor,South,2431
2023-02-21,Headphones,South,2320
2022-06-17,Tablet,South,3889
2022-02-12,Tablet,North,2910
2023-07-10,Laptop,North,4828
2022-10-12,Monitor,West,1631
2023-02-01,Laptop,South,4982
2022-01-12,Phone,North,3090
2023-08-30,Laptop,South,4593
2022-10-29,Camera,East,1243
2022-09-10,Laptop,East,1033
2023-05-14,Camera,East,1560
2022-02-04,Headphones,West,2823
2023-12-28,Smartwatch,South,2612
2022-03-31,Tablet,East,385
2023-08-28,Camera,North,364
2023-08-25,Monitor,East,2467
2023-02-22,Laptop,East,3547
2022-04-25,Camera,East,1862
2023-09-09,Monitor,West,3148
2022-07-15,Smartwatch,North,2481
2023-05-16,Smartwatch,South,2369
2023-09-18,Laptop,North,140
2023-05-08,Phone,South,167
2022-03-16,Laptop,West,1087
2023-02-17,Headphones,West,4108
2023-01-11,Camera,West,3298
2023-02-24,Tablet,West,4890
2023-12-30,Phone,South,2624
2022-10-04,Laptop,East,1185
2023-11-07,Monitor,South,2579
2023-01-29,Phone,North,1793
2023-04-02,Camera,West,2415
2022-07-11,Phone,West,878
2023-11-20,Camera,North,4689
2022-04-09,Laptop,South,1685
2023-07-02,Camera,East,1592
2022-04-06,Phone,East,760
2023-10-26,Monitor,North,1448
2023-10-25,Smartwatch,East,1399
2022-07-09,Phone,South,4040
2022-02-06,Camera,South,2086
2023-01-04,Smartwatch,North,2144
2023-11-26,Camera,South,3616
2023-06-09,Monitor,West,1158
2022-10-06,Camera,North,1076
2022-08-05,Laptop,South,4677
2022-09-30,Tablet,North,827
2022-03-03,Phone,East,2627
2023-08-19,Tablet,South,3236
2023-12-30,Camera,West,442
2022-12-08,Monitor,South,1547
2023-02-01,Phone,North,2479
2023-11-30,Camera,North,3759
2022-01-19,Smartwatch,South,626
2022-06-26,Headphones,West,1996
2023-09-04,Camera,West,4854
2023-01-31,Tablet,West,2173
2023-03-21,Phone,North,505
2022-08-21,Tablet,South,1673
2022-03-17,Phone,East,4700
2022-09-22,Camera,North,3840
2023-03-31,Laptop,West,4374
2023-12-19,Smartwatch,South,4327
2023-01-19,Camera,West,1946
2023-07-18,Tablet,East,1578
2023-05-21,Headphones,West,2495
2023-01-02,Headphones,West,871
2022-05-24,Monitor,East,678
2022-03-10,Phone,South,3001
2022-04-09,Tablet,North,293
2023-01-31,Monitor,South,2107
2022-01-25,Tablet,East,1285
2023-04-14,Phone,West,2494
2023-04-29,Camera,South,3098
2023-07-19,Camera,North,1892
2022-05-31,Headphones,East,1210
2022-05-24,Camera,South,4105
2023-07-23,Camera,North,2361
2022-02-08,Laptop,East,3836
2022-04-19,Headphones,North,3893
2023-11-24,Monitor,East,2036
2022-02-11,Smartwatch,West,4975
2022-07-05,Laptop,South,4457
2023-02-02,Monitor,North,829
2022-08-11,Phone,East,4478
2023-09-26,Laptop,North,3551
2022-05-13,Monitor,North,4557
2022-06-12,Phone,South,4636
2022-08-03,Headphones,West,2240
2022-08-23,Smartwatch,North,1744
2023-10-20,Phone,East,2900
2023-08-11,Camera,East,241
2022-01-09,Tablet,West,1555
2022-03-15,Phone,East,4896
2023-05-07,Phone,West,2196
2022-09-10,Smartwatch,East,1425
2022-08-18,Tablet,South,1313
2023-06-03,Camera,North,1259
2022-06-23,Monitor,South,4750
2023-10-15,Monitor,North,4599
2022-06-17,Phone,North,4797
2022-06-19,Tablet,North,440
2023-01-28,Tablet,South,3928
2023-09-26,Camera,North,2068
2022-07-13,Smartwatch,South,803
2023-06-01,Headphones,West,4513
2022-01-29,Monitor,East,2529
2022-06-14,Smartwatch,East,1900
2023-02-26,Laptop,North,4748
2022-12-05,Monitor,South,955
2023-10-10,Smartwatch,East,1912
2023-05-11,Monitor,South,2966
2022-12-31,Headphones,South,3742
2022-12-08,Laptop,North,282
2023-05-15,Headphones,East,3212
2023-10-19,Camera,North,4592
2023-05-26,Laptop,North,1617
2022-11-23,Phone,East,1456
2022-08-05,Smartwatch,East,2274
2022-10-28,Laptop,West,3729
2022-05-12,Camera,West,3728
2022-03-11,Camera,South,4196
2022-09-09,Headphones,East,3339
2023-02-19,Monitor,West,3791
2023-03-21,Laptop,South,118
2022-07-01,Smartwatch,South,3503
2022-06-16,Laptop,South,4779
2022-04-01,Tablet,West,4651
2023-12-15,Monitor,East,3104
2023-06-15,Smartwatch,North,1232
2022-02-08,Smartwatch,South,3439
2022-05-06,Phone,West,3411
2023-03-27,Headphones,West,3472
2022-06-22,Phone,North,1087
2023-10-15,Smartwatch,North,3421
2022-08-08,Monitor,West,4715
2023-09-30,Laptop,East,273
2022-02-27,Laptop,North,3841
2023-10-22,Monitor,West,3152
2023-04-21,Smartwatch,North,826
2023-04-01,Camera,East,3860
2022-12-27,Laptop,South,1975
2022-01-01,Camera,North,4133
2023-01-22,Laptop,East,1089
2022-12-14,Laptop,West,3844
2022-07-09,Headphones,North,2786
2023-05-20,Headphones,North,519
2022-07-10,Tablet,West,693
2023-05-23,Phone,South,1874
2023-01-04,Monitor,West,2559
2023-02-13,Monitor,North,1035
2022-04-27,Monitor,West,3908
2022-05-14,Tablet,East,431
2022-02-27,Headphones,West,3549
2023-07-10,Smartwatch,North,2802
2023-11-16,Camera,West,4106
2023-11-03,Camera,South,3968
2022-06-22,Smartwatch,West,4300
2022-05-29,Tablet,South,301
2022-03-21,Smartwatch,East,2597
2022-08-01,Monitor,South,1942
2022-07-22,Phone,West,1966
2022-08-17,Laptop,North,2096
2023-11-07,Camera,South,1009
2022-08-15,Headphones,East,4405
2023-10-21,Headphones,South,4758
2023-06-16,Tablet,South,3289
2023-03-17,Headphones,South,870
2023-02-06,Monitor,East,3255
2022-02-16,Camera,West,2601
2022-08-21,Smartwatch,South,2814
2022-11-01,Monitor,South,4824
2023-06-10,Tablet,North,3685
2022-05-23,Monitor,East,1728
2023-02-19,Smartwatch,South,486
2023-05-28,Phone,East,3521
2023-01-08,Tablet,South,4108
2023-07-20,Phone,West,4193
2022-09-16,Laptop,West,4463
2023-10-18,Phone,South,2566
2023-04-16,Laptop,West,2382
2022-01-12,Laptop,South,1956
2022-11-26,Phone,West,2098
2022-12-24,Tablet,North,1336
2023-02-12,Smartwatch,North,4769
2023-10-30,Monitor,North,4244
2023-01-08,Monitor,East,1250
2022-01-08,Smartwatch,East,4418
2022-05-02,Camera,North,1531
2022-12-14,Camera,East,1919
2023-11-07,Laptop,West,2424
2022-03-31,Laptop,South,1230
2023-10-10,Tablet,South,2758
2023-11-29,Headphones,South,3600
2022-11-12,Phone,North,474
2022-06-27,Laptop,East,2220
2023-06-24,Monitor,West,4120
2022-02-10,Tablet,West,2121
2023-12-05,Phone,North,3805
2023-05-17,Tablet,West,3359
2022-05-25,Phone,West,3535
2022-07-20,Phone,West,1989
2023-12-25,Smartwatch,West,1923
2023-04-06,Laptop,East,1574
2023-07-12,Tablet,West,2342
2023-07-01,Tablet,South,3343
2022-09-10,Smartwatch,North,3234
2023-01-25,Monitor,East,2170
2023-08-17,Monitor,West,459
2022-09-13,Camera,East,2141
2023-12-10,Laptop,West,1241
2023-03-26,Laptop,South,1735
2022-01-10,Headphones,North,4100
2022-08-30,Smartwatch,West,2043
2022-09-08,Monitor,West,4874
2022-01-05,Phone,West,3461
2022-04-29,Tablet,West,3080
2023-01-09,Laptop,North,106
2022-03-06,Tablet,North,3367
2022-05-26,Tablet,South,1691
2022-08-12,Headphones,North,3364
2022-08-27,Monitor,West,2706
2022-06-26,Laptop,South,3319
2022-10-09,Tablet,South,3373
2022-03-04,Laptop,South,1013
2022-08-05,Phone,West,2111
2023-11-20,Headphones,East,1542
2023-04-06,Phone,West,3154
2023-09-02,Laptop,North,3646
2022-04-15,Camera,North,4321
2022-04-09,Laptop,West,3028
2023-05-26,Monitor,West,1929
2023-01-20,Tablet,South,675
2023-02-09,Tablet,West,1029
2023-06-02,Phone,South,3859
2023-04-21,Headphones,North,3799
2023-12-10,Camera,South,1563
2023-10-07,Smartwatch,West,3375
2023-03-13,Tablet,North,1154
2022-01-23,Monitor,East,2000
2023-07-19,Phone,South,1557
2023-11-08,Phone,North,1499
2023-12-15,Smartwatch,South,3515
2023-04-03,Monitor,North,542
2022-03-24,Headphones,North,3750
2022-05-25,Monitor,South,4752
2022-03-26,Headphones,East,1278
2022-03-19,Monitor,North,4558
2023-04-02,Monitor,North,1357
2022-01-01,Laptop,North,3734
2022-02-20,Phone,East,1941
2023-11-16,Monitor,East,2409
2023-12-18,Smartwatch,West,1010
2023-03-22,Monitor,South,4440
2023-03-25,Tablet,East,4737
2023-05-03,Phone,South,4109
2022-02-03,Tablet,West,2269
2022-12-14,Phone,South,2272
2022-04-05,Tablet,East,223
2022-03-13,Monitor,South,3258
2023-07-05,Monitor,East,885
2022-06-03,Laptop,South,2516
2022-09-07,Smartwatch,East,896
2023-11-05,Tablet,East,4272
2023-03-14,Headphones,South,4254
2022-04-28,Laptop,West,2036
2022-11-02,Tablet,North,2256
2022-09-25,Tablet,West,3907
2022-02-23,Laptop,South,1401
2022-08-24,Monitor,West,4263
2023-01-24,Tablet,East,3240
2023-02-05,Monitor,North,3336
2023-09-16,Laptop,South,2452
2022-10-30,Monitor,South,2032
2022-07-26,Phone,South,2821
2022-08-17,Headphones,North,464
2023-08-01,Camera,East,2490
2022-03-16,Tablet,South,1046
2023-03-11,Smartwatch,West,1477
2022-04-13,Headphones,South,1539
2023-02-26,Camera,South,3280
2023-12-05,Monitor,South,4957
2022-11-02,Tablet,South,440
2022-04-08,Monitor,East,3089
2022-12-01,Phone,West,482
2023-03-11,Laptop,East,1656
2023-03-23,Tablet,West,399
2022-11-04,Camera,South,238
2022-09-06,Camera,North,458
2022-06-15,Phone,East,1622
2023-04-26,Phone,North,3556
2022-12-01,Tablet,East,1727
2023-06-26,Monitor,South,1403
2022-04-16,Smartwatch,East,1234
2023-07-17,Camera,South,2286
2022-03-22,Camera,East,3270
2022-05-13,Phone,South,3935
2022-05-18,Headphones,South,2251
2022-07-03,Phone,West,1337
2023-02-05,Smartwatch,South,3835
2022-11-26,Monitor,West,2934
2023-05-23,Monitor,South,4360
2022-03-10,Headphones,North,1098
2023-06-30,Camera,South,2667
2022-02-22,Phone,North,1407
2023-03-26,Monitor,North,756
2022-07-24,Smartwatch,South,2760
2022-05-06,Tablet,North,2311
2022-02-12,Laptop,West,2009
2022-04-21,Laptop,East,3830
2023-10-25,Laptop,South,2146
2022-07-02,Camera,North,3262
2022-04-05,Phone,South,1240
2023-01-09,Headphones,West,366
2023-06-04,Monitor,South,1945
2022-12-26,Tablet,South,1808
2023-11-27,Smartwatch,North,3730
2022-10-08,Tablet,West,3311
2022-07-14,Smartwatch,East,2393
2022-07-14,Camera,East,3832
2023-10-29,Phone,North,3929
2022-04-03,Laptop,South,1610
2023-11-03,Phone,North,575
2022-03-02,Camera,North,1076
2023-09-26,Headphones,North,1307
